,0
0,59.74248917214027
1,59.764872165678234
2,59.558007312213384
3,59.392947497756154
4,59.666199135822126
5,59.7631713424718
6,59.939179698867434
7,60.06044494083564
8,60.13514479224327
9,60.162138355630866
10,60.06329465317968
11,60.01765452625916
12,59.99922990976844
13,59.953870670432664
14,59.95824919065142
15,59.90219627231777
16,59.93665964951704
17,59.97711456637814
18,59.96725190853982
19,59.95721200980557
20,59.98308224858765
21,59.970433236161
22,59.97740259986816
23,59.98363729353365
24,59.978629797923695
25,59.97762649628467
26,59.97544873820837
27,59.96403024569905
28,59.975329953064154
29,59.99203965370636
30,60.00312408450064
31,59.986133907251336
32,59.81649872298506
33,59.83028778287007
34,59.954565006155924
35,59.98887411670235
36,59.9737769655537
37,59.98376377931518
38,59.9848313053094
39,59.99117176227818
40,59.982966257733246
41,59.99372379895589
42,59.972934030735914
43,59.97644155519739
44,59.997606979046466
45,60.00307336220403
46,59.9818926769268
47,59.99543471374369
48,59.96509560794548
49,59.9794380426926
50,59.98376199053021
51,59.97431832513866
52,60.00731713369278
53,59.99211561276666
54,59.996636212619464
55,59.97792641549083
56,59.98467165867534
57,59.99845094620356
58,60.00171846375033
59,59.98625200420921
60,59.98317746422495
61,59.979757498533765
62,59.98287773799392
63,59.971868654186856
64,59.98001763973796
65,59.97716116611612
66,59.990709572411525
67,59.971941712364526
68,59.96847452629613
69,59.991026263674755
70,59.99398556966892
71,59.98016973445661
72,60.00747485447585
73,59.99217963855193
74,60.00253506242542
75,59.991966281975465
76,59.99464780772405
77,59.98833268584395
78,59.9933661444465
79,60.0094079996928
80,59.9876299414729
81,59.977685155414605
82,59.98548668638549
83,59.98806067885281
84,59.99217262447844
85,59.98688092205011
86,59.966916284043336
87,59.97598671759225
88,59.98786172238879
89,60.00170217622656
90,59.992001105183625
91,59.96791265410736
92,59.98326064202538
93,59.98801777493024
94,59.98871724295493
95,59.97984379793627
96,60.003613336244264
97,59.988686135099975
98,59.992526866842
99,59.995866134923745
100,60.00099230810313
101,59.99460713776826
102,59.98804645732858
