,0
0,59.81120586808927
1,59.613752941687316
2,59.710310928189436
3,59.4576708479841
4,59.4350085241249
5,59.819115719758784
6,59.4887822470534
7,59.45168429825417
8,59.588510819794216
9,59.729299621114144
10,59.89655829608099
11,59.738092394064445
12,59.788185195332716
13,59.646289183369554
14,59.53830131697858
15,59.79904354184846
16,59.392467136422084
17,59.46403925982635
18,59.574379594039044
19,59.61213080413594
20,59.516244519088794
21,59.58891370654479
22,59.597985441774924
23,59.488587414887796
24,59.386973320029696
25,59.46685478525241
26,59.69172211333319
27,59.79723941060638
28,59.93501349258308
29,59.972107523921814
30,60.02160501423674
31,60.22598088519336
32,60.33936873982342
33,60.31472706329875
34,60.23631081653867
35,60.1846775454388
36,60.16696184644657
37,60.02435571598329
38,60.057994464338464
39,59.98786751692704
40,59.98923184955091
41,59.98921874709757
42,59.97497398986958
43,60.008270267741956
44,60.00606369671165
45,59.9973969352884
46,59.999161240478685
47,59.97757715024638
48,59.99779625600335
49,59.9848979428493
50,59.99107365161785
51,59.787261317054195
52,59.89475455721041
53,59.85484958885671
54,59.9115091243504
55,59.90316909170319
56,59.909340992914885
57,60.00687459508407
58,60.03298230287392
59,60.029350942423974
60,60.01861455540748
61,60.019611518211114
62,60.00447682668232
63,60.01627361781295
64,60.01169243954648
65,60.00424729282638
66,60.00122550288546
67,60.00068003214613
68,60.00748498589075
69,60.00636428789822
70,60.027706647564614
71,60.00262703071787
72,60.01147015598141
73,60.00399787290358
74,60.00129264079442
75,60.01276000248008
76,60.01172848051793
77,60.01483777139208
78,60.012727535840554
79,60.009338016554935
80,60.02163272510953
81,60.04167201411063
82,60.044270557120754
83,60.027177732320226
84,60.02427450252038
85,60.0244307367634
86,60.031442268681054
87,60.001909842215255
88,59.99732188741714
89,59.998233960592714
90,59.997418400807085
91,60.00595023678328
92,60.012089051704585
93,60.00618315510795
94,59.99372870995897
95,59.97847228242145
96,59.978027254084964
97,59.99355907746506
98,60.01875863487036
99,60.006497976689054
100,59.98313582760089
101,59.95144752895745
102,59.9875694163748
103,60.01587029044361
104,59.99115480736445
105,59.982883381813465
